Review,Assigned_Topic,Manual_Topic
we had a fantastic stay the room was very pleasant and clean the hotel team has always been friendly breakfast and lunch were excellent and incredibly varied i m great full for the hotel staff hard work in making our stay comfortable an enjoyable overall i highly recommended this hotelspecially thanks for mrranjans customer service,24,Service
"hotel stay was very comfortable food was excellent especially the buffet bfast and lunch
wifi connections was good too 
staff were courteous and proactive",117,Food
"saman villas is an excellent hotel with a unique stunning view the service is great our personal service  assistance was done by sudath  he did the best service we ever had the rooms were very nice cozy and comfortable
highly recommend to stay here",148,Service
"what a great stay we booked two rooms foods a delicious  a supper spread
the front office lady who is dilrukshi is very friendly
thank you so much for everything definitely we will come again",303,Food
we had chosen the riu at ahungalla for our annual trip there were  adults and  kids in our group checking was lil bit hard cause the pax was large but overall experience was great we didnt tried out the japanese and italian restaurants and spa n others but we had enjoyed the live musics in the night and the club club is not recommending cause the musics were so bad even the remix was destroyed other than that riu is a nice place to visit,93,Location
"a spur of the moment trip away from colombo for  nights after researching many hotels we chose uga bay and we were absoluetly never disappointed every department it was a first class service with efficient warm and friendly teams all of the staff an asset to any hotel in the world living here for  years this is definately the most professional that we have stayed the food was delicious and chef lakmal made us excellent dishes that we request off the menu nothing was too much trouble
without doubt we shall return to this beautiful sanctary
many thanks to you all for making it a memorable trip",2,Service
supperb location exceptionally clean overall including the pool well trained polite and friendly staff english breakfast was great our family of five members enjoyed the stay,105,Location
"the architecture was unique and beautifully designed
loved the scenic views from the property
meals were tasty and wellprepared
rooms were spacious with excellent amenities
the bed was extremely comfortable  slept really well
service was professional and friendly throughout
nothing specific to note as improvements",38,Room
most beautiful location and so many birds particularly peacocks  its more like a mini paradise really worth going again even food is very much perfect for indianswe saw baby turtles on the beach trying to enter the water and many more cute animals on the property,170,Location
i flew from the us to sri lanka on my own i arrived exhausted on my th birthday the staff must have seen it was my birthday on my passport they called my room and said can we come up we have something for you sure they brought up a birthday cake and sang to me i was  alone  miles from home and these lovely people made me feel like family every worker was kind and oh so helpful i had dinner at their happy hour rooftop i looked at the ocean while i enjoyed the music every meal i had there was delicious they will forever be in my heart,157,Service
