"helpfulVotes","id","lang","locationId","ownerResponse","ownerResponse/connectionToSubject","ownerResponse/id","ownerResponse/lang","ownerResponse/publishedDate","ownerResponse/responder","ownerResponse/text","photos/0/height","photos/0/id","photos/0/image","photos/0/width","photos/1/height","photos/1/id","photos/1/image","photos/1/width","photos/2/height","photos/2/id","photos/2/image","photos/2/width","photos/3/height","photos/3/id","photos/3/image","photos/3/width","photos/4/height","photos/4/id","photos/4/image","photos/4/width","photos/5/height","photos/5/id","photos/5/image","photos/5/width","photos/6/height","photos/6/id","photos/6/image","photos/6/width","photos/7/height","photos/7/id","photos/7/image","photos/7/width","photos/8/height","photos/8/id","photos/8/image","photos/8/width","photos/9/height","photos/9/id","photos/9/image","photos/9/width","photos/10/height","photos/10/id","photos/10/image","photos/10/width","photos/11/height","photos/11/id","photos/11/image","photos/11/width","photos/12/height","photos/12/id","photos/12/image","photos/12/width","photos/13/height","photos/13/id","photos/13/image","photos/13/width","photos/14/height","photos/14/id","photos/14/image","photos/14/width","photos/15/height","photos/15/id","photos/15/image","photos/15/width","photos/16/height","photos/16/id","photos/16/image","photos/16/width","photos/17/height","photos/17/id","photos/17/image","photos/17/width","photos/18/height","photos/18/id","photos/18/image","photos/18/width","photos/19/height","photos/19/id","photos/19/image","photos/19/width","photos/20/height","photos/20/id","photos/20/image","photos/20/width","photos/21/height","photos/21/id","photos/21/image","photos/21/width","photos/22/height","photos/22/id","photos/22/image","photos/22/width","photos/23/height","photos/23/id","photos/23/image","photos/23/width","photos/24/height","photos/24/id","photos/24/image","photos/24/width","placeInfo/address","placeInfo/addressObj/city","placeInfo/addressObj/country","placeInfo/addressObj/postalcode","placeInfo/addressObj/state","placeInfo/addressObj/street1","placeInfo/addressObj/street2","placeInfo/id","placeInfo/latitude","placeInfo/locationString","placeInfo/longitude","placeInfo/name","placeInfo/numberOfReviews","placeInfo/rating","placeInfo/ratingHistogram/count1","placeInfo/ratingHistogram/count2","placeInfo/ratingHistogram/count3","placeInfo/ratingHistogram/count4","placeInfo/ratingHistogram/count5","placeInfo/webUrl","placeInfo/website","publishedDate","publishedPlatform","rating","roomTip","subratings/0/name","subratings/0/value","subratings/1/name","subratings/1/value","subratings/2/name","subratings/2/value","subratings/3/name","subratings/3/value","subratings/4/name","subratings/4/value","subratings/5/name","subratings/5/value","text","title","travelDate","tripType","url","user/avatar","user/avatar/height","user/avatar/id","user/avatar/image","user/avatar/width","user/contributions/helpfulVotes","user/contributions/totalContributions","user/link","user/name","user/userId","user/userLocation","user/userLocation/id","user/userLocation/name","user/userLocation/shortName","user/username"
"0","1015652606","en","447407",,,,,,,,"3024","810646890","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/51/7d/6a/caption.jpg","4032",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No.1 Hotel Road, Sigiriya 21120 Sri Lanka","Sigiriya","Sri Lanka","21120",,"No.1 Hotel Road","","447407","7.949582","Sigiriya, Central Province","80.76111","Sigiriya Village Hotel","2440","4.3","44","63","269","790","1274","https://www.tripadvisor.com/Hotel_Review-g304141-d447407-Reviews-Sigiriya_Village_Hotel-Sigiriya_Central_Province.html","http://www.sigiriya-village.com/","2025-06-29","OTHER","5",,"Value","5","Rooms","5","Location","5","Cleanliness","5","Service","5","Sleep Quality","5","Friendly staff. Nature resort. Sigiriya rock view. often highlight cleanliness, staff helpfulness, room comfort, location, and overall value","Hotels","2025-06","COUPLES","https://www.tripadvisor.com/ShowUserReviews-g304141-d447407-r1015652606-Sigiriya_Village_Hotel-Sigiriya_Central_Province.html",,"1200","452387402","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/4a/default-avatar-2020-42.jpg","1200","0","2","www.tripadvisor.com/Profile/bhagyau2021","Bhagya U","5074E0269589BFFE61AE3C7238FC8AC6",,,,,"bhagyau2021"
"0","1015312782","en","447407",,"Other","1015508338","en","2025-06-28","Zameer Deen","Dear Guest,

Warm Greetings from Sigiriya Village!

Thank you so much for your lovely feedback! We're delighted you enjoyed the peaceful setting and our team's hospitality. We'd be happy to welcome you back anytime.

Warm Regards,

Zameer Deen
Assistant Manager.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No.1 Hotel Road, Sigiriya 21120 Sri Lanka","Sigiriya","Sri Lanka","21120",,"No.1 Hotel Road","","447407","7.949582","Sigiriya, Central Province","80.76111","Sigiriya Village Hotel","2440","4.3","44","63","269","790","1274","https://www.tripadvisor.com/Hotel_Review-g304141-d447407-Reviews-Sigiriya_Village_Hotel-Sigiriya_Central_Province.html","http://www.sigiriya-village.com/","2025-06-26","OTHER","5",,"Value","5","Rooms","5","Location","5","Cleanliness","5","Service","5","Sleep Quality","5","Fantastic staff so helpful  beautiful peaceful location  very clean rooms  would definitely recommend to both couples and families","Excellent hotel","2025-06","FAMILY","https://www.tripadvisor.com/ShowUserReviews-g304141-d447407-r1015312782-Sigiriya_Village_Hotel-Sigiriya_Central_Province.html",,"1200","452386713","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/df/99/default-avatar-2020-40.jpg","1200","0","1","www.tripadvisor.com/Profile/sheilabV1822XW","Sheila B","9F373EA2494FEBDE392DFAFCC7622055",,,,,"sheilabV1822XW"
"0","1015155886","en","447407",,"Other","1015509579","en","2025-06-28","Zameer Deen","Dear Guest,

Warm Greetings from Sigiriya Village!

Thank you for your kind words! We're so glad you and your family had a great time. It's wonderful to hear you enjoyed the calm location and found the rooms comfortable. 

We look forward to welcoming you back again.

Warm regards,

Zameer Deen
Assistant Manager.","3060","810103620","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/49/33/44/caption.jpg","4080",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No.1 Hotel Road, Sigiriya 21120 Sri Lanka","Sigiriya","Sri Lanka","21120",,"No.1 Hotel Road","","447407","7.949582","Sigiriya, Central Province","80.76111","Sigiriya Village Hotel","2440","4.3","44","63","269","790","1274","https://www.tripadvisor.com/Hotel_Review-g304141-d447407-Reviews-Sigiriya_Village_Hotel-Sigiriya_Central_Province.html","http://www.sigiriya-village.com/","2025-06-25","OTHER","5",,"Value","5","Rooms","5","Location","5","Cleanliness","5","Service","5","Sleep Quality","5","Really had a great time with my family really helpful staff .The location waa really clam to attractings ... The rooms are really comfortable","The pool area and the welcome drink was really nice","2025-06","FAMILY","https://www.tripadvisor.com/ShowUserReviews-g304141-d447407-r1015155886-Sigiriya_Village_Hotel-Sigiriya_Central_Province.html",,"1200","452390771","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/73/default-avatar-2020-13.jpg","1200","0","1","www.tripadvisor.com/Profile/thamidur2025","Thamidu R","9F8A03B7BDFAAC237A3F174DDB67FA0F",,,,,"thamidur2025"
"0","1015147712","fr","447407",,"Other","1015510561","en","2025-06-28","Zameer Deen","Dear Guest,

Warm Greetings from Sigiriya Village!

Thank you so much for your lovely feedback! We're delighted you enjoyed the peaceful atmosphere, friendly staff, and delicious meals. We hope you'll try the Ayurvedic massages during your next visit.

 Looking forward to welcoming you back.

Warm Regards,

Zameer Deen
Assistant Manager.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No.1 Hotel Road, Sigiriya 21120 Sri Lanka","Sigiriya","Sri Lanka","21120",,"No.1 Hotel Road","","447407","7.949582","Sigiriya, Central Province","80.76111","Sigiriya Village Hotel","2440","4.3","44","63","269","790","1274","https://www.tripadvisor.com/Hotel_Review-g304141-d447407-Reviews-Sigiriya_Village_Hotel-Sigiriya_Central_Province.html","http://www.sigiriya-village.com/","2025-06-25","OTHER","4",,,,,,,,,,,,,,"Rien à rajouter, personnel charmant et souriant, un lieu magique. 
Calme, propre, repas délicieux, ne n’avons pas essayé les massages ayurvediques.","Tb","2025-06","FAMILY","https://www.tripadvisor.com/ShowUserReviews-g304141-d447407-r1015147712-Sigiriya_Village_Hotel-Sigiriya_Central_Province.html",,"1200","452389307","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/bb/default-avatar-2020-65.jpg","1200","0","2","www.tripadvisor.com/Profile/H8527ZEcyrilc","Cyril C","9CA7CB8FB20CE824844CA15E4EAA29C4",,,,,"H8527ZEcyrilc"
"0","1015146920","en","447407",,"Other","1015512518","en","2025-06-28","Zameer Deen","Dear Guest,

Warm Greetings from Sigiriya Village!

Thank you so much for your kind words! We’re delighted to hear that you and your guest had a comfortable and enjoyable stay. Sadurshan, Nadeesha, Geethika, and Saman will be very happy to know they made a positive impact. 

We truly appreciate your recommendation and look forward to welcoming you again.

Warm Regards,

Zameer Deen
Assistant Manager.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No.1 Hotel Road, Sigiriya 21120 Sri Lanka","Sigiriya","Sri Lanka","21120",,"No.1 Hotel Road","","447407","7.949582","Sigiriya, Central Province","80.76111","Sigiriya Village Hotel","2440","4.3","44","63","269","790","1274","https://www.tripadvisor.com/Hotel_Review-g304141-d447407-Reviews-Sigiriya_Village_Hotel-Sigiriya_Central_Province.html","http://www.sigiriya-village.com/","2025-06-25","MOBILE","5",,,,,,,,,,,,,,"All good reception sadurshan,nadeesha,geethika Mr .saman really helpful team their really helped us to comfortable our stay . My guest and me was really enjoyed the stay. Rooms are perfectly fine and thank you for the service really we can recommend the place","Pool area neat","2025-06","FRIENDS","https://www.tripadvisor.com/ShowUserReviews-g304141-d447407-r1015146920-Sigiriya_Village_Hotel-Sigiriya_Central_Province.html",,"1200","452391908","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f3/e4/default-avatar-2020-30.jpg","1200","0","1","www.tripadvisor.com/Profile/Navigate22299475489","Golden Leophard Lanka Tours","B58897C9FA6770366632FB3B9478625A",,"674590","Ahangama, Sri Lanka","Ahangama","Navigate22299475489"
"0","1015025234","en","447407",,"Other","1015080784","en","2025-06-25","Zameer Deen","Dear Guest,

Warm Greetings from Sigiriya Village!

Thank you for your kind feedback! We're delighted to hear you enjoyed the beautiful gardens, pool, and the cleanliness of our amenities. It's great to know the buffet breakfast met your expectations and that you found the resort comfortable and welcoming.

 We truly appreciate your recommendation and hope to welcome you and your loved ones back again soon.

Warm Regards

Zameer Deen
Assistant Manager.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No.1 Hotel Road, Sigiriya 21120 Sri Lanka","Sigiriya","Sri Lanka","21120",,"No.1 Hotel Road","","447407","7.949582","Sigiriya, Central Province","80.76111","Sigiriya Village Hotel","2440","4.3","44","63","269","790","1274","https://www.tripadvisor.com/Hotel_Review-g304141-d447407-Reviews-Sigiriya_Village_Hotel-Sigiriya_Central_Province.html","http://www.sigiriya-village.com/","2025-06-25","OTHER","5",,"Value","4","Rooms","4","Location","5","Cleanliness","5","Service","5","Sleep Quality","4","Beautiful resort with lovely garden and pool. Very clean amenities although rooms are a little dated very comfortable. Buffet breakfast had something for everyone and was delicious. Would recommend to families and couples","Beautiful authentic resort","2025-06","COUPLES","https://www.tripadvisor.com/ShowUserReviews-g304141-d447407-r1015025234-Sigiriya_Village_Hotel-Sigiriya_Central_Province.html",,"1200","452387402","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/4a/default-avatar-2020-42.jpg","1200","53","22","www.tripadvisor.com/Profile/annief23","Annie F","A7ADC42EB82C82423673F4A9DC46102D",,"255325","Newcastle, Australia","Newcastle","annief23"
"0","1015024362","en","447407",,"Other","1015081419","en","2025-06-25","Zameer Deen","Dear Guest,

Warm Greetings from Sigiriya Village!

Thank you for your kind words! We're glad you had a comfortable stay and enjoyed the service and location. Hope to see you again soon.

Warm Regards,

Zameer Deen
Assistant Manager.","4032","809836190","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/45/1e/9e/caption.jpg","3024","4032","809836191","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/45/1e/9f/caption.jpg","3024","3024","809836192","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/45/1e/a0/caption.jpg","4032","3024","809836193","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/45/1e/a1/caption.jpg","4032","3024","809836194","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/45/1e/a2/caption.jpg","4032",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No.1 Hotel Road, Sigiriya 21120 Sri Lanka","Sigiriya","Sri Lanka","21120",,"No.1 Hotel Road","","447407","7.949582","Sigiriya, Central Province","80.76111","Sigiriya Village Hotel","2440","4.3","44","63","269","790","1274","https://www.tripadvisor.com/Hotel_Review-g304141-d447407-Reviews-Sigiriya_Village_Hotel-Sigiriya_Central_Province.html","http://www.sigiriya-village.com/","2025-06-25","OTHER","5","Available not used yet ","Value","5","Rooms","5","Location","5","Cleanliness","5","Service","5","Sleep Quality","5","The room was really nice and neat very comfortable really had good sleep 😴.Bar man is super he is real bar man 👨 the location was really nice","Really comfortable place","2025-06","FRIENDS","https://www.tripadvisor.com/ShowUserReviews-g304141-d447407-r1015024362-Sigiriya_Village_Hotel-Sigiriya_Central_Province.html",,"1200","452386394","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/5a/default-avatar-2020-36.jpg","1200","0","1","www.tripadvisor.com/Profile/aaronbU3921OW","Aaron B","3FD752C7645418BA7F90AE4C39BD40F9",,,,,"aaronbU3921OW"
"0","1015006058","en","447407",,"Other","1015083108","en","2025-06-25","Zameer Deen","Dear Guest,

Warm Greetings from Sigiriya Village!

Thank you for your lovely feed back and hope to see you again soon.

Warm Regards,

Zameer Deen
Assistant Manager.","1792","809819445","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/44/dd/35/caption.jpg","4080",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No.1 Hotel Road, Sigiriya 21120 Sri Lanka","Sigiriya","Sri Lanka","21120",,"No.1 Hotel Road","","447407","7.949582","Sigiriya, Central Province","80.76111","Sigiriya Village Hotel","2440","4.3","44","63","269","790","1274","https://www.tripadvisor.com/Hotel_Review-g304141-d447407-Reviews-Sigiriya_Village_Hotel-Sigiriya_Central_Province.html","http://www.sigiriya-village.com/","2025-06-24","OTHER","5",,"Value","5","Rooms","5","Location","5","Cleanliness","5","Service","5","Sleep Quality","5","Very tasty food
Highly recommend location
Very careful location
Good condition in room
Good experience ,,🥰🥰🥰🥰🥰","Very friendly staff","2025-06","COUPLES","https://www.tripadvisor.com/ShowUserReviews-g304141-d447407-r1015006058-Sigiriya_Village_Hotel-Sigiriya_Central_Province.html",,"1200","452391608","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/b8/default-avatar-2020-26.jpg","1200","0","1","www.tripadvisor.com/Profile/612tharindum","Tharindu M","08B065CB1C29398562A78BAF402053EA",,,,,"612tharindum"
"0","1014893295","en","447407",,"Other","1015513490","en","2025-06-28","Zameer Deen","Dear Guest,

Warm greetings from Sigiriya Village!

Thank you for your feedback. We’re truly sorry to hear that your experience did not meet expectations. Your concerns regarding the food quality, service, room condition, and pool cleanliness are taken seriously, and we will address these with our team to ensure improvements are made. 

We’re glad you still found parts of your stay enjoyable, and we appreciate you taking the time to share your thoughts.

Warm Regards,

Zameer Deen
Assistant Manager.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No.1 Hotel Road, Sigiriya 21120 Sri Lanka","Sigiriya","Sri Lanka","21120",,"No.1 Hotel Road","","447407","7.949582","Sigiriya, Central Province","80.76111","Sigiriya Village Hotel","2440","4.3","44","63","269","790","1274","https://www.tripadvisor.com/Hotel_Review-g304141-d447407-Reviews-Sigiriya_Village_Hotel-Sigiriya_Central_Province.html","http://www.sigiriya-village.com/","2025-06-24","OTHER","1","The Pool is Dirty and the rooms full of buggs and the food isn‘t good it’s cold. The Servus is unprofessionell ","Value","1","Rooms","1","Location","5","Cleanliness","2","Service","1","Sleep Quality","3","The Hotel was okay. The Food was miserable und cold. The waiters didn‘t take the emty  Plates and they were unprofessionel because they laughed so Hard that they were even sitting on the floor. There were Buggs in my room aswell and the room was very dark. The Pool was always Dirty even if the Pool Boy was cleaning it. All in all it was a nice stay but I still wouldnt recomend the Hotel.","Was okay. I Write everything above","2025-06","FAMILY","https://www.tripadvisor.com/ShowUserReviews-g304141-d447407-r1014893295-Sigiriya_Village_Hotel-Sigiriya_Central_Province.html",,"1200","452391071","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/9f/default-avatar-2020-16.jpg","1200","0","1","www.tripadvisor.com/Profile/P5072GDannag","Anna G","B57B6DAC73B455CBE53AA6A4EB7AC15C",,,,,"P5072GDannag"
"0","1014840394","en","447407",,"Other","1015514205","en","2025-06-28","Zameer Deen","Dear Guest,

Warm greetings from Sigiriya Village!

Thank you so much for your kind feedback! We’re glad to hear that you enjoyed the service, food, and comfortable rooms. Our team is always happy to help, and we hope to welcome you back again soon.

Warm regards,

Zameer Deen
Assistant Manager.

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No.1 Hotel Road, Sigiriya 21120 Sri Lanka","Sigiriya","Sri Lanka","21120",,"No.1 Hotel Road","","447407","7.949582","Sigiriya, Central Province","80.76111","Sigiriya Village Hotel","2440","4.3","44","63","269","790","1274","https://www.tripadvisor.com/Hotel_Review-g304141-d447407-Reviews-Sigiriya_Village_Hotel-Sigiriya_Central_Province.html","http://www.sigiriya-village.com/","2025-06-23","OTHER","5",,"Value","5","Rooms","5","Location","5","Cleanliness","5","Service","5","Sleep Quality","5","All good and the service was great .The  staff really helpfull. And the food was really good Rooms are really comfortable","All good","2025-06","BUSINESS","https://www.tripadvisor.com/ShowUserReviews-g304141-d447407-r1014840394-Sigiriya_Village_Hotel-Sigiriya_Central_Province.html",,"768","366260037","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/d4/af/45/nalakap5.jpg","768","0","4","www.tripadvisor.com/Profile/Nalanka","Nalaka P","B3E2843F4742B10AC886F70169EEA849",,"293962","Colombo, Sri Lanka","Colombo","Nalanka"
