"helpfulVotes","id","lang","locationId","ownerResponse","ownerResponse/connectionToSubject","ownerResponse/id","ownerResponse/lang","ownerResponse/publishedDate","ownerResponse/responder","ownerResponse/text","photos/0/height","photos/0/id","photos/0/image","photos/0/width","photos/1/height","photos/1/id","photos/1/image","photos/1/width","photos/2/height","photos/2/id","photos/2/image","photos/2/width","photos/3/height","photos/3/id","photos/3/image","photos/3/width","photos/4/height","photos/4/id","photos/4/image","photos/4/width","photos/5/height","photos/5/id","photos/5/image","photos/5/width","photos/6/height","photos/6/id","photos/6/image","photos/6/width","photos/7/height","photos/7/id","photos/7/image","photos/7/width","photos/8/height","photos/8/id","photos/8/image","photos/8/width","photos/9/height","photos/9/id","photos/9/image","photos/9/width","photos/10/height","photos/10/id","photos/10/image","photos/10/width","photos/11/height","photos/11/id","photos/11/image","photos/11/width","photos/12/height","photos/12/id","photos/12/image","photos/12/width","photos/13/height","photos/13/id","photos/13/image","photos/13/width","photos/14/height","photos/14/id","photos/14/image","photos/14/width","photos/15/height","photos/15/id","photos/15/image","photos/15/width","photos/16/height","photos/16/id","photos/16/image","photos/16/width","photos/17/height","photos/17/id","photos/17/image","photos/17/width","photos/18/height","photos/18/id","photos/18/image","photos/18/width","photos/19/height","photos/19/id","photos/19/image","photos/19/width","photos/20/height","photos/20/id","photos/20/image","photos/20/width","photos/21/height","photos/21/id","photos/21/image","photos/21/width","photos/22/height","photos/22/id","photos/22/image","photos/22/width","photos/23/height","photos/23/id","photos/23/image","photos/23/width","photos/24/height","photos/24/id","photos/24/image","photos/24/width","photos/25/height","photos/25/id","photos/25/image","photos/25/width","photos/26/height","photos/26/id","photos/26/image","photos/26/width","photos/27/height","photos/27/id","photos/27/image","photos/27/width","photos/28/height","photos/28/id","photos/28/image","photos/28/width","photos/29/height","photos/29/id","photos/29/image","photos/29/width","photos/30/height","photos/30/id","photos/30/image","photos/30/width","photos/31/height","photos/31/id","photos/31/image","photos/31/width","photos/32/height","photos/32/id","photos/32/image","photos/32/width","photos/33/height","photos/33/id","photos/33/image","photos/33/width","photos/34/height","photos/34/id","photos/34/image","photos/34/width","photos/35/height","photos/35/id","photos/35/image","photos/35/width","photos/36/height","photos/36/id","photos/36/image","photos/36/width","photos/37/height","photos/37/id","photos/37/image","photos/37/width","photos/38/height","photos/38/id","photos/38/image","photos/38/width","photos/39/height","photos/39/id","photos/39/image","photos/39/width","photos/40/height","photos/40/id","photos/40/image","photos/40/width","photos/41/height","photos/41/id","photos/41/image","photos/41/width","placeInfo/address","placeInfo/addressObj/city","placeInfo/addressObj/country","placeInfo/addressObj/postalcode","placeInfo/addressObj/state","placeInfo/addressObj/street1","placeInfo/addressObj/street2","placeInfo/id","placeInfo/latitude","placeInfo/locationString","placeInfo/longitude","placeInfo/name","placeInfo/numberOfReviews","placeInfo/rating","placeInfo/ratingHistogram/count1","placeInfo/ratingHistogram/count2","placeInfo/ratingHistogram/count3","placeInfo/ratingHistogram/count4","placeInfo/ratingHistogram/count5","placeInfo/webUrl","placeInfo/website","publishedDate","publishedPlatform","rating","roomTip","subratings/0/name","subratings/0/value","subratings/1/name","subratings/1/value","subratings/2/name","subratings/2/value","subratings/3/name","subratings/3/value","subratings/4/name","subratings/4/value","subratings/5/name","subratings/5/value","text","title","travelDate","tripType","url","user/avatar","user/avatar/height","user/avatar/id","user/avatar/image","user/avatar/width","user/contributions/helpfulVotes","user/contributions/totalContributions","user/link","user/name","user/userId","user/userLocation","user/userLocation/id","user/userLocation/name","user/userLocation/shortName","user/username"
"0","1015691552","en","10626289",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wijaya Kumaratunga Mawatha, Dambulla 21100 Sri Lanka","Dambulla","Sri Lanka","21100",,"Wijaya Kumaratunga Mawatha",,"10626289","7.841157","Dambulla, Central Province","80.648056","Jetwing Lake","1375","4.8","4","5","36","218","1113","https://www.tripadvisor.com/Hotel_Review-g304133-d10626289-Reviews-Jetwing_Lake-Dambulla_Central_Province.html","http://www.jetwinghotels.com/jetwinglake/","2025-06-29","OTHER","5","Avoid peak season ","Value","5","Rooms","4","Location","5","Cleanliness","4","Service","5","Sleep Quality","4","This hotel is priced quite well for a five star hotel. Food is decent and it has a massive pool. Atmosphere is decent. Rooms are clean but not spotless. I would suggest a deep clean during off season. Overall, great value for money though.","Decent five star hotel that’s well priced","2025-06","FAMILY","https://www.tripadvisor.com/ShowUserReviews-g304133-d10626289-r1015691552-Jetwing_Lake-Dambulla_Central_Province.html",,"1200","452388586","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e6/ea/default-avatar-2020-54.jpg","1200","7","9","www.tripadvisor.com/Profile/Lankan_Aussie","Lankan_Aussie","8B0D432CF7AAD531FF93E2290E017F75",,,,,"Lankan_Aussie"
"0","1015570516","en","10626289",,,,,,,,"1536","810548732","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/4f/fd/fc/caption.jpg","2048","1536","810548733","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/4f/fd/fd/caption.jpg","2048",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wijaya Kumaratunga Mawatha, Dambulla 21100 Sri Lanka","Dambulla","Sri Lanka","21100",,"Wijaya Kumaratunga Mawatha",,"10626289","7.841157","Dambulla, Central Province","80.648056","Jetwing Lake","1375","4.8","4","5","36","218","1113","https://www.tripadvisor.com/Hotel_Review-g304133-d10626289-Reviews-Jetwing_Lake-Dambulla_Central_Province.html","http://www.jetwinghotels.com/jetwinglake/","2025-06-28","MOBILE","4",,,,,,,,,,,,,,"The good thing - property has a serene location and is quite peaceful. The food options are limited for vegetarians. Staff is a bit raw - I mean they are not fully trained. It takes a lot of effort to explain anything to the staff, limited English speaking skills. Not much to do. It’s just about ok if you want a peaceful and secluded life for a couple of days max.","Good Location - overall just about OK","2025-06","FAMILY","https://www.tripadvisor.com/ShowUserReviews-g304133-d10626289-r1015570516-Jetwing_Lake-Dambulla_Central_Province.html",,"2046","810538497","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/4f/d6/01/caption.jpg","2048","104","206","www.tripadvisor.com/Profile/Shishir15","Shishir Mishra","4DE54C5665AF88451C6166C0CD4E2E44",,"304554","Mumbai, India","Mumbai","Shishir15"
"0","1015250216","en","10626289",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wijaya Kumaratunga Mawatha, Dambulla 21100 Sri Lanka","Dambulla","Sri Lanka","21100",,"Wijaya Kumaratunga Mawatha",,"10626289","7.841157","Dambulla, Central Province","80.648056","Jetwing Lake","1375","4.8","4","5","36","218","1113","https://www.tripadvisor.com/Hotel_Review-g304133-d10626289-Reviews-Jetwing_Lake-Dambulla_Central_Province.html","http://www.jetwinghotels.com/jetwinglake/","2025-06-26","OTHER","5",,"Value","5","Rooms","5","Location","5","Cleanliness","5","Service","5","Sleep Quality","5","eally worth the stay and absolutely loved every bit of it. The hospitality and service were outstanding from start to finish. A special mention to Kapila and Lahiruka for their exceptional service – they went above and beyond to make our stay comfortable and memorable. Would highly recommend and definitely looking forward to coming back!","Truly Worth the Stay – Exceptional Hospitality!","2025-06","FAMILY","https://www.tripadvisor.com/ShowUserReviews-g304133-d10626289-r1015250216-Jetwing_Lake-Dambulla_Central_Province.html",,"1200","452390504","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/68/default-avatar-2020-9.jpg","1200","0","2","www.tripadvisor.com/Profile/Manelki","Manelki E","92E3C911D151CA5ADC3A6AD863488614",,,,,"Manelki"
"0","1015009355","en","10626289",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wijaya Kumaratunga Mawatha, Dambulla 21100 Sri Lanka","Dambulla","Sri Lanka","21100",,"Wijaya Kumaratunga Mawatha",,"10626289","7.841157","Dambulla, Central Province","80.648056","Jetwing Lake","1375","4.8","4","5","36","218","1113","https://www.tripadvisor.com/Hotel_Review-g304133-d10626289-Reviews-Jetwing_Lake-Dambulla_Central_Province.html","http://www.jetwinghotels.com/jetwinglake/","2025-06-24","OTHER","5",,"Value","5","Rooms","5","Location","5","Cleanliness","5","Service","5","Sleep Quality","5","Perfect in every way. From the moment we arrived to the time we departed, they provided superb service. The staff were well trained, and the cleanliness was exceptional. We truly experienced five-star hospitality. Thank you, Jetwing!","Perfect Stay","2025-06","FAMILY","https://www.tripadvisor.com/ShowUserReviews-g304133-d10626289-r1015009355-Jetwing_Lake-Dambulla_Central_Province.html",,"1200","452390706","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/32/default-avatar-2020-12.jpg","1200","0","1","www.tripadvisor.com/Profile/sankalpir2021","Sankalpi R","E3198139121F648E7BF1B55A3291A95A",,,,,"sankalpir2021"
"0","1013841272","en","10626289",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wijaya Kumaratunga Mawatha, Dambulla 21100 Sri Lanka","Dambulla","Sri Lanka","21100",,"Wijaya Kumaratunga Mawatha",,"10626289","7.841157","Dambulla, Central Province","80.648056","Jetwing Lake","1375","4.8","4","5","36","218","1113","https://www.tripadvisor.com/Hotel_Review-g304133-d10626289-Reviews-Jetwing_Lake-Dambulla_Central_Province.html","http://www.jetwinghotels.com/jetwinglake/","2025-06-19","OTHER","5",,"Value","4","Rooms","5","Location","4","Cleanliness","5","Service","5","Sleep Quality","5","Friendly Staff from the being to the end. Stunning hospitality with absolute essence of luxury. Well worth visit. Succulent foods. Highly recommended for a family stay.","Great Day at Jetwing Lake Dambulla","2025-06","FAMILY","https://www.tripadvisor.com/ShowUserReviews-g304133-d10626289-r1013841272-Jetwing_Lake-Dambulla_Central_Province.html",,"1200","452387615","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/1f/default-avatar-2020-46.jpg","1200","0","1","www.tripadvisor.com/Profile/dinuthr2025","dinuth r","E9474CCE30D6276C8615D2D29170E3B7",,,,,"dinuthr2025"
"0","1013574138","en","10626289",,,,,,,,"4624","808698905","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/33/c4/19/caption.jpg","2604",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wijaya Kumaratunga Mawatha, Dambulla 21100 Sri Lanka","Dambulla","Sri Lanka","21100",,"Wijaya Kumaratunga Mawatha",,"10626289","7.841157","Dambulla, Central Province","80.648056","Jetwing Lake","1375","4.8","4","5","36","218","1113","https://www.tripadvisor.com/Hotel_Review-g304133-d10626289-Reviews-Jetwing_Lake-Dambulla_Central_Province.html","http://www.jetwinghotels.com/jetwinglake/","2025-06-18","OTHER","5",,"Value","5","Rooms","5","Location","5","Cleanliness","5","Service","5","Sleep Quality","5","I was totally impressed with this hotel. The rooms were really spacious and clean and the bed was very comfortable, we had a really good sleep after visiting around the entire day. The food was really delicious and diverse but what trully got me was the impressive view and the symphony of the jungle every morning. A dream and a wonderful experience, I am planning to come back here someday!!","One of the best hotels I've ever stayed at","2025-02","FAMILY","https://www.tripadvisor.com/ShowUserReviews-g304133-d10626289-r1013574138-Jetwing_Lake-Dambulla_Central_Province.html",,,,,,"0","8","www.tripadvisor.com/Profile/alexiacelestinac","Alexia Celestin... C","D4DC9BA28501DD622C7255FEFA3AD411",,,,,"alexiacelestinac"
"0","1012915062","en","10626289",,,,,,,,"1536","807922993","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/27/ed/31/caption.jpg","2048","2048","807922994","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/27/ed/32/caption.jpg","1536","1536","807922995","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/27/ed/33/caption.jpg","2048","2048","807922996","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/27/ed/34/caption.jpg","1536","1536","807922997","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/27/ed/35/caption.jpg","2048",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wijaya Kumaratunga Mawatha, Dambulla 21100 Sri Lanka","Dambulla","Sri Lanka","21100",,"Wijaya Kumaratunga Mawatha",,"10626289","7.841157","Dambulla, Central Province","80.648056","Jetwing Lake","1375","4.8","4","5","36","218","1113","https://www.tripadvisor.com/Hotel_Review-g304133-d10626289-Reviews-Jetwing_Lake-Dambulla_Central_Province.html","http://www.jetwinghotels.com/jetwinglake/","2025-06-13","MOBILE","5","Simply Make it happen",,,,,,,,,,,,,"This property  reminds me of high quality resorts in the beautiful Island of Maldives. Excellent staff and they are well mannered.  Cleanliness is number one priority here, which i admired the most. Super tasty food. Quality of the food and variety is excellent. They have improved the quantity in a big way that you are really satisfied for what you pay. 

Rooms are very spacious &
Excellently clean. You see someone all the time cleaning & Dusting the corridors 🥰

You want to get away from your busy environments, this is the best. Scenery & natural breeze embraces you before you even realize.  We will definitely return here more oftenly. Wish you JETWING  LAKE DAMBULLA , and its staff all the success in the future 🙏❤️🥰💯","A 100% quality product without a  doubt ❤️🙏","2025-06","FAMILY","https://www.tripadvisor.com/ShowUserReviews-g304133-d10626289-r1012915062-Jetwing_Lake-Dambulla_Central_Province.html",,"1200","452386603","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/df/2b/default-avatar-2020-39.jpg","1200","4","21","www.tripadvisor.com/Profile/jinnaaaaay1","Jinendhri","F4DDCF0758216CAAA6ED2748C318F633",,,,,"jinnaaaaay1"
"0","1012806436","en","10626289",,,,,,,,"975","807781079","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/25/c2/d7/caption.jpg","1300","975","807781080","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/25/c2/d8/caption.jpg","1300","975","807781081","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/25/c2/d9/caption.jpg","1300","975","807781082","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/25/c2/da/caption.jpg","1300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wijaya Kumaratunga Mawatha, Dambulla 21100 Sri Lanka","Dambulla","Sri Lanka","21100",,"Wijaya Kumaratunga Mawatha",,"10626289","7.841157","Dambulla, Central Province","80.648056","Jetwing Lake","1375","4.8","4","5","36","218","1113","https://www.tripadvisor.com/Hotel_Review-g304133-d10626289-Reviews-Jetwing_Lake-Dambulla_Central_Province.html","http://www.jetwinghotels.com/jetwinglake/","2025-06-13","MOBILE","5","June is off season, so the place is almost empty, making it quiet and extremely peaceful.",,,,,,,,,,,,,"This is where you go to relax. It's like a private resort. The staff are attentive, the food excellent, and the general vibe is peaceful. 

It has a fantastic 70m pool, with room balconies as big as large a small room with stunning vistas, what more could you want?

I would highly recommend it, a lovely place to stay.","More like a private resort.","2025-06","COUPLES","https://www.tripadvisor.com/ShowUserReviews-g304133-d10626289-r1012806436-Jetwing_Lake-Dambulla_Central_Province.html",,"450","435731878","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/f8/bd/a6/avatar.jpg","450","4","33","www.tripadvisor.com/Profile/u4real","Anthony","995841F0F6DD429ABF092C8EFB4FF24D",,"186338","London, United Kingdom","London","u4real"
"0","1012485323","en","10626289",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wijaya Kumaratunga Mawatha, Dambulla 21100 Sri Lanka","Dambulla","Sri Lanka","21100",,"Wijaya Kumaratunga Mawatha",,"10626289","7.841157","Dambulla, Central Province","80.648056","Jetwing Lake","1375","4.8","4","5","36","218","1113","https://www.tripadvisor.com/Hotel_Review-g304133-d10626289-Reviews-Jetwing_Lake-Dambulla_Central_Province.html","http://www.jetwinghotels.com/jetwinglake/","2025-06-10","OTHER","5",,"Value","5","Rooms","5","Location","5","Cleanliness","5","Service","5","Sleep Quality","5","It was our second time staying in this hotel and both were amazing experiences. Mr. Nalin and his team welcomed us with very friendly hospitality and their accommodations were beyond satisfactory. They were one of the reasons that this experience was special and memorable. From food to rooms, everything was top notch, well served and arranged. The property is absolutely spectacular, serene and spacious. It’s incredible for a peaceful vacation and I would absolutely go again with my family. Travelling from Colombo to Dambulla was a little exhausting, but arriving at Jetwing Lake made it all worth it.","Amazing experience - 10/10 ✨🙌","2025-06","FAMILY","https://www.tripadvisor.com/ShowUserReviews-g304133-d10626289-r1012485323-Jetwing_Lake-Dambulla_Central_Province.html",,"1200","452386394","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/5a/default-avatar-2020-36.jpg","1200","0","1","www.tripadvisor.com/Profile/sheneliw","Sheneli W","97EFAD33153043917E92B87C4A8B92F1",,,,,"sheneliw"
"0","1011904097","en","10626289",,,,,,,,"1800","807271090","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/1d/fa/b2/caption.jpg","1440","960","807271507","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/1d/fc/53/caption.jpg","1280","960","807271522","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/1d/fc/62/caption.jpg","1280","1800","807271546","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/1d/fc/7a/caption.jpg","1440","1800","807271632","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/1d/fc/d0/caption.jpg","1440",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wijaya Kumaratunga Mawatha, Dambulla 21100 Sri Lanka","Dambulla","Sri Lanka","21100",,"Wijaya Kumaratunga Mawatha",,"10626289","7.841157","Dambulla, Central Province","80.648056","Jetwing Lake","1375","4.8","4","5","36","218","1113","https://www.tripadvisor.com/Hotel_Review-g304133-d10626289-Reviews-Jetwing_Lake-Dambulla_Central_Province.html","http://www.jetwinghotels.com/jetwinglake/","2025-06-09","OTHER","5",,"Value","5","Rooms","5","Location","5","Cleanliness","5","Service","5","Sleep Quality","5","We had a wonderful stay at Jetwing Lake – the service was exceptional, with friendly and attentive staff who made us feel genuinely welcome throughout. The food was a real highlight, offering a wide variety of both local and international dishes that were fresh, flavorful, and beautifully presented.

The hotel’s setting was absolutely breathtaking, nestled beside the serene Siyahala Lake and surrounded by lush greenery, which created a peaceful and calming atmosphere. From the spacious, well-designed rooms to the tranquil infinity pool and stunning views, everything about this 5-star property made our stay feel truly special and relaxing.","Perfect blend of luxury and nature, with warm, attentive service and delicious food","2025-05","COUPLES","https://www.tripadvisor.com/ShowUserReviews-g304133-d10626289-r1011904097-Jetwing_Lake-Dambulla_Central_Province.html",,"959","708708489","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/3e/08/89/rmj-c.jpg","959","0","7","www.tripadvisor.com/Profile/636rmjc","Rmj C","5D06873584AB21BD4E98D47B745643A5",,"668534","Kurunegala, Sri Lanka","Kurunegala","636rmjc"
