"helpfulVotes","id","lang","locationId","ownerResponse","ownerResponse/connectionToSubject","ownerResponse/id","ownerResponse/lang","ownerResponse/publishedDate","ownerResponse/responder","ownerResponse/text","photos/0/height","photos/0/id","photos/0/image","photos/0/width","photos/1/height","photos/1/id","photos/1/image","photos/1/width","photos/2/height","photos/2/id","photos/2/image","photos/2/width","photos/3/height","photos/3/id","photos/3/image","photos/3/width","photos/4/height","photos/4/id","photos/4/image","photos/4/width","photos/5/height","photos/5/id","photos/5/image","photos/5/width","photos/6/height","photos/6/id","photos/6/image","photos/6/width","photos/7/height","photos/7/id","photos/7/image","photos/7/width","photos/8/height","photos/8/id","photos/8/image","photos/8/width","photos/9/height","photos/9/id","photos/9/image","photos/9/width","photos/10/height","photos/10/id","photos/10/image","photos/10/width","photos/11/height","photos/11/id","photos/11/image","photos/11/width","photos/12/height","photos/12/id","photos/12/image","photos/12/width","photos/13/height","photos/13/id","photos/13/image","photos/13/width","photos/14/height","photos/14/id","photos/14/image","photos/14/width","photos/15/height","photos/15/id","photos/15/image","photos/15/width","photos/16/height","photos/16/id","photos/16/image","photos/16/width","photos/17/height","photos/17/id","photos/17/image","photos/17/width","photos/18/height","photos/18/id","photos/18/image","photos/18/width","photos/19/height","photos/19/id","photos/19/image","photos/19/width","photos/20/height","photos/20/id","photos/20/image","photos/20/width","photos/21/height","photos/21/id","photos/21/image","photos/21/width","photos/22/height","photos/22/id","photos/22/image","photos/22/width","photos/23/height","photos/23/id","photos/23/image","photos/23/width","photos/24/height","photos/24/id","photos/24/image","photos/24/width","photos/25/height","photos/25/id","photos/25/image","photos/25/width","photos/26/height","photos/26/id","photos/26/image","photos/26/width","photos/27/height","photos/27/id","photos/27/image","photos/27/width","photos/28/height","photos/28/id","photos/28/image","photos/28/width","photos/29/height","photos/29/id","photos/29/image","photos/29/width","photos/30/height","photos/30/id","photos/30/image","photos/30/width","photos/31/height","photos/31/id","photos/31/image","photos/31/width","photos/32/height","photos/32/id","photos/32/image","photos/32/width","photos/33/height","photos/33/id","photos/33/image","photos/33/width","photos/34/height","photos/34/id","photos/34/image","photos/34/width","photos/35/height","photos/35/id","photos/35/image","photos/35/width","photos/36/height","photos/36/id","photos/36/image","photos/36/width","photos/37/height","photos/37/id","photos/37/image","photos/37/width","photos/38/height","photos/38/id","photos/38/image","photos/38/width","photos/39/height","photos/39/id","photos/39/image","photos/39/width","photos/40/height","photos/40/id","photos/40/image","photos/40/width","photos/41/height","photos/41/id","photos/41/image","photos/41/width","photos/42/height","photos/42/id","photos/42/image","photos/42/width","photos/43/height","photos/43/id","photos/43/image","photos/43/width","photos/44/height","photos/44/id","photos/44/image","photos/44/width","photos/45/height","photos/45/id","photos/45/image","photos/45/width","photos/46/height","photos/46/id","photos/46/image","photos/46/width","photos/47/height","photos/47/id","photos/47/image","photos/47/width","photos/48/height","photos/48/id","photos/48/image","photos/48/width","photos/49/height","photos/49/id","photos/49/image","photos/49/width","placeInfo/address","placeInfo/addressObj/city","placeInfo/addressObj/country","placeInfo/addressObj/postalcode","placeInfo/addressObj/state","placeInfo/addressObj/street1","placeInfo/addressObj/street2","placeInfo/id","placeInfo/latitude","placeInfo/locationString","placeInfo/longitude","placeInfo/name","placeInfo/numberOfReviews","placeInfo/rating","placeInfo/ratingHistogram/count1","placeInfo/ratingHistogram/count2","placeInfo/ratingHistogram/count3","placeInfo/ratingHistogram/count4","placeInfo/ratingHistogram/count5","placeInfo/webUrl","placeInfo/website","publishedDate","publishedPlatform","rating","roomTip","subratings/0/name","subratings/0/value","subratings/1/name","subratings/1/value","subratings/2/name","subratings/2/value","subratings/3/name","subratings/3/value","subratings/4/name","subratings/4/value","subratings/5/name","subratings/5/value","text","title","travelDate","tripType","url","user/avatar","user/avatar/height","user/avatar/id","user/avatar/image","user/avatar/width","user/contributions/helpfulVotes","user/contributions/totalContributions","user/link","user/name","user/userId","user/userLocation","user/userLocation/id","user/userLocation/name","user/userLocation/shortName","user/username"
"0","1012960833","en","300682",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"200 Union Place, Colombo 00200 Sri Lanka","Colombo","Sri Lanka","00200",,"200 Union Place",,"300682","6.920757","Colombo, Western Province","79.856094","Hilton Colombo Residences","1789","4.4","51","41","142","403","1152","https://www.tripadvisor.com/Hotel_Review-g293962-d300682-Reviews-Hilton_Colombo_Residences-Colombo_Western_Province.html","http://colomboresidence.hilton.com","2025-06-14","OTHER","5",,"Value","5","Rooms","5","Location","5","Cleanliness","5","Service","5","Sleep Quality","5","My last stay at Hilton Colombo Residencies was really wonderful from the beginning till finish. It was very welcomed and well looked after by the staff. 

A very special thanks to my friend Nisal who supported me to make my stay even more special. And also wanted to thank Jinanjali who was at the front desk, she gave us a warm welcome and was very kind and helpful with my stay.

The room was very clean and tidy with the fantastic city view. Simply the room had everything I needed for my stay.

Again huge thanks for Nisal and Jinanjali with Hilton team for making our stay so comfortable.","Super friendly staff with excellent stay","2025-05","FAMILY","https://www.tripadvisor.com/ShowUserReviews-g293962-d300682-r1012960833-Hilton_Colombo_Residences-Colombo_Western_Province.html",,"1200","452391608","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/b8/default-avatar-2020-26.jpg","1200","0","1","www.tripadvisor.com/Profile/Go67268571333","Go67268571333","1C38B34471D9D52278E28221C4905435",,,,,"Go67268571333"
"0","1011502454","en","300682",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"200 Union Place, Colombo 00200 Sri Lanka","Colombo","Sri Lanka","00200",,"200 Union Place",,"300682","6.920757","Colombo, Western Province","79.856094","Hilton Colombo Residences","1789","4.4","51","41","142","403","1152","https://www.tripadvisor.com/Hotel_Review-g293962-d300682-Reviews-Hilton_Colombo_Residences-Colombo_Western_Province.html","http://colomboresidence.hilton.com","2025-06-07","OTHER","5",,,,,,,,,,,,,,"Stayed at Hilton Colombo Residence and had a great experience. Jason was incredibly helpful throughout — any issue we had, he was right there to sort it out. Super friendly guy, always going out of his way to help. You can tell he really cares. The pool and the town area were also really nice — relaxing and easy to get around. Definitely made the stay more enjoyable. Thanks, Jason!","Best Hotel - Colombo Residence","2025-06","FRIENDS","https://www.tripadvisor.com/ShowUserReviews-g293962-d300682-r1011502454-Hilton_Colombo_Residences-Colombo_Western_Province.html",,"1200","452386535","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/e7/default-avatar-2020-37.jpg","1200","0","1","www.tripadvisor.com/Profile/Explore30978009880","Explore30978009880","69BFE4D1C5FA810F48A3FE33EA6E2CE4",,,,,"Explore30978009880"
"0","1011498093","en","300682",,,,,,,,"2090","806865921","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/17/cc/01/caption.jpg","3490","3024","806865922","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/17/cc/02/caption.jpg","4032",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"200 Union Place, Colombo 00200 Sri Lanka","Colombo","Sri Lanka","00200",,"200 Union Place",,"300682","6.920757","Colombo, Western Province","79.856094","Hilton Colombo Residences","1789","4.4","51","41","142","403","1152","https://www.tripadvisor.com/Hotel_Review-g293962-d300682-Reviews-Hilton_Colombo_Residences-Colombo_Western_Province.html","http://colomboresidence.hilton.com","2025-06-07","OTHER","5",,"Value","5","Location","5","Cleanliness","5","Service","5",,,,,"VERY SPECIAL CREDIT to Ms. Imesha at Banquot Sales & to Mr. Prabath - Asst. Banquot Opt. Manager, who delivered perfect piece of treat covering every aspect of hospitality, caring, flexibility & due respect through out our wedding reception held on 31st May, 2025 & in all previous meetings.

That was an outstanding service well above their job roles, which made us super comfortable, convenient in every single moment.

That show the pure Sri Lankan hospitality + care & these duo can be named as Role models in relevant sectors with great human senses.

Frankly, they are the Best individuals met ever in hospitality sector carry such a classy sense and good heart, as well as genuine willing to give their best towards the guests/ visitors of the hotel while staying their limitations and controls.

Further, experienced an amazingly superb care and hospitality from almost all the staff in the hotel from Security staff, & floor maintainers to the management with Nice warm smile on their faces.

Thank you, Hilton Colombo Residences for maintaining such a class in the business.

Buddhi Thilakawansha 
Wedding Planner - EventLust","An Amazing Service - The Best Duo ever met in the business","2025-05","FAMILY","https://www.tripadvisor.com/ShowUserReviews-g293962-d300682-r1011498093-Hilton_Colombo_Residences-Colombo_Western_Province.html",,"1200","452390504","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/68/default-avatar-2020-9.jpg","1200","0","3","www.tripadvisor.com/Profile/216buddhit","Buddhi T","6F1E261753C50BA4DA91B9628D2ADCA1",,,,,"216buddhit"
"0","1011299937","en","300682",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"200 Union Place, Colombo 00200 Sri Lanka","Colombo","Sri Lanka","00200",,"200 Union Place",,"300682","6.920757","Colombo, Western Province","79.856094","Hilton Colombo Residences","1789","4.4","51","41","142","403","1152","https://www.tripadvisor.com/Hotel_Review-g293962-d300682-Reviews-Hilton_Colombo_Residences-Colombo_Western_Province.html","http://colomboresidence.hilton.com","2025-06-05","OTHER","5",,"Value","5","Rooms","5","Location","5","Cleanliness","5","Service","5","Sleep Quality","5","Good option for a business stay in Colombo. Courteous and welcoming staff, good restaurant options, and quick room service. A bit dated but clean. Great views. I got wonderful, personalised service from the manager, and they were kind enough to accommodate late checkout without extra charges.","Great business stay in Colombo!","2025-05","BUSINESS","https://www.tripadvisor.com/ShowUserReviews-g293962-d300682-r1011299937-Hilton_Colombo_Residences-Colombo_Western_Province.html",,"205","19820647","https://dynamic-media-cdn.tripadvisor.com/media/photo-f/01/2e/70/67/avatar045.jpg","205","3","7","www.tripadvisor.com/Profile/alpanr2016","Alpan R","5A750ADB05EAE77814788C0380EF808C",,"304554","Mumbai, India","Mumbai","alpanr2016"
"0","1011124377","en","300682",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"200 Union Place, Colombo 00200 Sri Lanka","Colombo","Sri Lanka","00200",,"200 Union Place",,"300682","6.920757","Colombo, Western Province","79.856094","Hilton Colombo Residences","1789","4.4","51","41","142","403","1152","https://www.tripadvisor.com/Hotel_Review-g293962-d300682-Reviews-Hilton_Colombo_Residences-Colombo_Western_Province.html","http://colomboresidence.hilton.com","2025-06-04","OTHER","5",,"Location","5",,,,,,,,,,,"I had a great experience at Hilton Colombo Residence, especially thanks to their excellent swimming instructor, Lakshan. He was patient, professional, and very encouraging throughout the lessons. His clear guidance and friendly manner helped build my confidence in the water. The pool area was clean and well-maintained, making it a pleasant environment to learn in. Highly recommend Lakshan if you're looking to improve your swimming during your stay!","Excellent Swimming Lessons with Lakshan!","2025-05","FAMILY","https://www.tripadvisor.com/ShowUserReviews-g293962-d300682-r1011124377-Hilton_Colombo_Residences-Colombo_Western_Province.html",,,,,,"0","2","www.tripadvisor.com/Profile/Global479993","Renuka F","9F8EFBED0565B1BF9B69A92C805837E5",,,,,"Global479993"
"0","1010605347","en","300682",,,,,,,,"4032","805910040","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/09/36/18/caption.jpg","3024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"200 Union Place, Colombo 00200 Sri Lanka","Colombo","Sri Lanka","00200",,"200 Union Place",,"300682","6.920757","Colombo, Western Province","79.856094","Hilton Colombo Residences","1789","4.4","51","41","142","403","1152","https://www.tripadvisor.com/Hotel_Review-g293962-d300682-Reviews-Hilton_Colombo_Residences-Colombo_Western_Province.html","http://colomboresidence.hilton.com","2025-06-01","OTHER","4",,,,,,,,,,,,,,"I visited Hilton Colombo Residencies. Nice swimming with a lovely view and a special thanks to Jason the swimming instructor. Thanks for the guidance. Views are best from the balcony. Nice morning breakfast. Room services are quiet good.","NA","2025-05","BUSINESS","https://www.tripadvisor.com/ShowUserReviews-g293962-d300682-r1010605347-Hilton_Colombo_Residences-Colombo_Western_Province.html",,"1200","452389795","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/a3/default-avatar-2020-38.jpg","1200","0","1","www.tripadvisor.com/Profile/335alokm","Alok M","EFB67FBB48FD0C4E6FCD2D2F9B534EBA",,,,,"335alokm"
"0","1010234424","en","300682",,,,,,,,"2688","805512141","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/03/23/cd/caption.jpg","1512",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"200 Union Place, Colombo 00200 Sri Lanka","Colombo","Sri Lanka","00200",,"200 Union Place",,"300682","6.920757","Colombo, Western Province","79.856094","Hilton Colombo Residences","1789","4.4","51","41","142","403","1152","https://www.tripadvisor.com/Hotel_Review-g293962-d300682-Reviews-Hilton_Colombo_Residences-Colombo_Western_Province.html","http://colomboresidence.hilton.com","2025-05-29","OTHER","5",,,,,,,,,,,,,,"Been a member of the Hilton Residences sports centre for a few months now. Been an amazing experience. There's always fresh towels. The gym, pool, sauna, steam room and lockers are always clean and well maintained. They also have nice music on Fridays. The views of the Lotus Tower from the 3rd floor is also lovely. 

Jason and his team are doing a great job! Definitely would recommend.","Equipped and well maintained sports centre and facilities with a great team","2025-05","FRIENDS","https://www.tripadvisor.com/ShowUserReviews-g293962-d300682-r1010234424-Hilton_Colombo_Residences-Colombo_Western_Province.html",,"1200","452392461","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f6/0d/default-avatar-2020-34.jpg","1200","0","4","www.tripadvisor.com/Profile/nilupulw2017","Nilupul W","E7D44A0821191BD98819AFA074B423FE",,,,,"nilupulw2017"
"0","1009967005","en","300682",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"200 Union Place, Colombo 00200 Sri Lanka","Colombo","Sri Lanka","00200",,"200 Union Place",,"300682","6.920757","Colombo, Western Province","79.856094","Hilton Colombo Residences","1789","4.4","51","41","142","403","1152","https://www.tripadvisor.com/Hotel_Review-g293962-d300682-Reviews-Hilton_Colombo_Residences-Colombo_Western_Province.html","http://colomboresidence.hilton.com","2025-05-28","OTHER","5",,,,,,,,,,,,,,"I visited Hilton Colombo Residencies often. Nice swimming with a lovely view. Fantastic gym, steam, sauna and jacuzzi. Jason from the sport centre provides excellent hospitality. Definitely will visit Hilton Colombo Residencies again and will recommend this hotel to my friends and family.","Good service","2025-05","SOLO","https://www.tripadvisor.com/ShowUserReviews-g293962-d300682-r1009967005-Hilton_Colombo_Residences-Colombo_Western_Province.html",,"1200","452390706","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/32/default-avatar-2020-12.jpg","1200","0","1","www.tripadvisor.com/Profile/bairstowp","Bairstow P","72AD5638CE04C86137E0936F00CE77EF",,,,,"bairstowp"
"0","1008842807","en","300682",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"200 Union Place, Colombo 00200 Sri Lanka","Colombo","Sri Lanka","00200",,"200 Union Place",,"300682","6.920757","Colombo, Western Province","79.856094","Hilton Colombo Residences","1789","4.4","51","41","142","403","1152","https://www.tripadvisor.com/Hotel_Review-g293962-d300682-Reviews-Hilton_Colombo_Residences-Colombo_Western_Province.html","http://colomboresidence.hilton.com","2025-05-23","OTHER","5",,,,,,,,,,,,,,"visited hilton colombo residence. nice facilities with a good swimming pool, gym ,steam, sauna & jacuzzi. excellent service by the staff. special thanks to Jason works @ the sports center for the good hospitality. will surely recommend hilton colombo residence to all.","good service","2025-05","FRIENDS","https://www.tripadvisor.com/ShowUserReviews-g293962-d300682-r1008842807-Hilton_Colombo_Residences-Colombo_Western_Province.html",,"1200","452389009","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/91/default-avatar-2020-62.jpg","1200","0","1","www.tripadvisor.com/Profile/707irfann","irfan N","C2791B09664F2FBC98E3830184229520",,,,,"707irfann"
"0","1008566761","en","300682",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"200 Union Place, Colombo 00200 Sri Lanka","Colombo","Sri Lanka","00200",,"200 Union Place",,"300682","6.920757","Colombo, Western Province","79.856094","Hilton Colombo Residences","1789","4.4","51","41","142","403","1152","https://www.tripadvisor.com/Hotel_Review-g293962-d300682-Reviews-Hilton_Colombo_Residences-Colombo_Western_Province.html","http://colomboresidence.hilton.com","2025-05-21","OTHER","5",,"Value","5","Rooms","5","Location","5","Cleanliness","4","Service","5","Sleep Quality","4","Very good hotel
Staff were amazing 
Especially front office manager Anura

Large 2 bedroom apartment with stunning views of downtown Colombo
Apartment also had 2 washrooms and a small kitchen area
There was access to a very good restaurant with a very good buffet 
Centrally placed with access to all amenities within a walking distance","Hilton residencies Colombo","2025-05","COUPLES","https://www.tripadvisor.com/ShowUserReviews-g293962-d300682-r1008566761-Hilton_Colombo_Residences-Colombo_Western_Province.html",,"1200","452391071","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/9f/default-avatar-2020-16.jpg","1200","0","2","www.tripadvisor.com/Profile/rg933","rg933","10CDD775D170955A846F65CEC2DE7831",,,,,"rg933"
