hotel_location,hotel_name,review_rating,review_title,review_text,trip_type
Sigiriya,Sigiriya Village Hotel,5,Hotels,"Friendly staff. Nature resort. Sigiriya rock view. often highlight cleanliness, staff helpfulness, room comfort, location, and overall value",Couples
Sigiriya,Sigiriya Village Hotel,5,Excellent hotel,Fantastic staff so helpful  beautiful peaceful location  very clean rooms  would definitely recommend to both couples and families,Family
Sigiriya,Sigiriya Village Hotel,5,The pool area and the welcome drink was really nice,Really had a great time with my family really helpful staff .The location waa really clam to attractings ... The rooms are really comfortable,Family
Sigiriya,Sigiriya Village Hotel,5,Pool area neat,"All good reception sadurshan,nadeesha,geethika Mr .saman really helpful team their really helped us to comfortable our stay . My guest and me was really enjoyed the stay. Rooms are perfectly fine and thank you for the service really we can recommend the place",Friends
Sigiriya,Sigiriya Village Hotel,5,Beautiful authentic resort,Beautiful resort with lovely garden and pool. Very clean amenities although rooms are a little dated very comfortable. Buffet breakfast had something for everyone and was delicious. Would recommend to families and couples,Couples
Sigiriya,Sigiriya Village Hotel,5,Really comfortable place,The room was really nice and neat very comfortable really had good sleep 😴.Bar man is super he is real bar man 👨 the location was really nice,Friends
Sigiriya,Sigiriya Village Hotel,5,Very friendly staff,"Very tasty food
Highly recommend location
Very careful location
Good condition in room
Good experience ,,🥰🥰🥰🥰🥰",Couples
Sigiriya,Sigiriya Village Hotel,1,Was okay. I Write everything above,The Hotel was okay. The Food was miserable und cold. The waiters didn‘t take the emty  Plates and they were unprofessionel because they laughed so Hard that they were even sitting on the floor. There were Buggs in my room aswell and the room was very dark. The Pool was always Dirty even if the Pool Boy was cleaning it. All in all it was a nice stay but I still wouldnt recomend the Hotel.,Family
Sigiriya,Sigiriya Village Hotel,5,All good,All good and the service was great .The  staff really helpfull. And the food was really good Rooms are really comfortable,Business
Sigiriya,Sigiriya Village Hotel,5,Greetings well,My guest told that the rooms are perfectly clean and neat .The food was really good taste and the staff was really very kind,Business
Sigiriya,Sigiriya Village Hotel,5,Best place to stay at sigiriya,"Rooms was fantastic , Calm and Quit , Clean and sanitized ,
Staff was helpful and kind . Ashen and Samarakoon chef was helped us to make our stay memorable one .",Family
Sigiriya,Sigiriya Village Hotel,5,Recommended,"Highly recommended place & worth for the money. Appreciate the service  by all the hotel staff. Nice and
Very calm place.",Friends
Sigiriya,Sigiriya Village Hotel,4,Sigiriya Village - stay - June 2025,Very nice stay. Staff is very polite and hospitality is also very nice. We had stayed in Deluxe room. Rooms are very big and comfortable. Property is also very nice,Family
Sigiriya,Sigiriya Village Hotel,5,Excellent  staff with great service. Perfect natural habitat for so many avain species. Spectacular sighting of Sigiriya,Excellent service with great hospitality. Clean room with. Spacious surroundings.  Excellent food with so many varieties.,Family
Sigiriya,Sigiriya Village Hotel,5,WONDERFUL EXPERIENCE,I stayed in this hotel for one day…I really loved the experience ! Thank you for such a wonderful experience. Really Loved it !,Family
Sigiriya,Sigiriya Village Hotel,5,Really Nice hôtel in Sigirya,"Really Nice hôtel ! 
Good food, good massages, peacefull swimmingpool with Beautiful view 
And people really welcoming :)",Couples
Sigiriya,Sigiriya Village Hotel,5,Excellent,Good hospitality and nice gesture. Food is great .nadeesha Hemamali and the bell boys their have great hospitalised service really recommend the place,Solo
Sigiriya,Sigiriya Village Hotel,5,Pool area was really good,Everything was really excellent 👌 Good staff Accommodation was really good 👍 Nadeesha and hemamali was really friendly with us 😀 fantastic 😀 area pool side was really good,Friends
Sigiriya,Sigiriya Village Hotel,5,all good,all good and comfortable around here we really enjoyed the day so thank you for the help you done food was really taste good,Friends
Kandy,Grand Serendib Hotel,5,Short stay,"Very pleasant stay. Extremely friendly and polite staff
Views are amazing. 
Roof bar with live music 
Gihani at the reception really helpful and friendly. Thank you",Solo
Kandy,Grand Serendib Hotel,5,Luxury with an amazing view,"The view is the absolute best thing about this hotel. The view and the food. And excellent service.
The view, the food and the excellent service... and the rooftop bar.
And the infinity pool.
OK so this hotel has a lot going for it.

We'd booked in advance and paid a little extra for a (what we interpreted as) better room. We were a little disappointed to discover our family room was on the sub-level. Once we spoke to the reception they understood and installed us into a top floor room with amazing views over Kandy.
The food is great here. Chef will come out and say hello during dinner service. Breakfast is also excellent and swift.
Make sure you get a chance to enjoy the pool. Being on the edge of the world and looking into the busy green city is not to be missed. The pool is small and cute and only a few loungers so you need to be friendly with your fellow guests.
Also make sure to enjoy the evening sunset views from the rooftop bar. The music is good, the barmen are good, the vibe is good. It's just a good time!

Highly recommend this hotel for families and saw many couples enjoying it too.

Make sure you tip the bellboy. He's a good dude.

The rooms have international plugs, AC, minibar, hairdryers etc... the bathrooms have toiletries and everything you need.
Definitely get a tuktuk or taxi as its up a big hill.",Family
Kandy,Grand Serendib Hotel,5,Amazing service,Food was great and such a good price. Service was amazing. Guyan was lovely and so helpful. Super quick food and he always made sure we was happy,Couples
Kandy,Grand Serendib Hotel,5,Great location and lovely clean hotel!,"Lovely stay at the Grand Serendib, clean, modern and great rooftop bar! Gihan greeted us for checkin/out and was very friendly!

Infinity pool is very nice too. Overall would recommend and would come back :)",Couples
Kandy,Grand Serendib Hotel,5,"Staff, rooms, views, food everything superb.","Staff, rooms, views, food everything superb. We traveled as a family with teens and this is a superb location and hotel to be spoilt. Amazing views allow for prime photos from the room, bar, restaurant and pool! We received a free upgrade on arrival without request although all rooms seem superb and very spacious. All staff are very attentive and helpful. We used the a la cart menu which was varied and lovely. They also gave my husband a lovely father's Day treat! Thank you Grand Serendib Hotel 😍",Family
